,Item_id,Price
0,1,Price1
1,2,Price1
2,3,Price2
3,4,Price4
4,5,Price4
5,6,Price1
6,7,Price1
7,8,Price3
8,9,Base_Price
9,10,Price4
10,11,Price4
11,12,Base_Price
12,13,Price4
13,14,Price4
14,15,Base_Price
15,16,Price4
16,17,Price1
17,18,Base_Price
18,19,Price4
19,20,Base_Price
20,21,Price4
21,22,Price4
22,23,Price4
23,24,Base_Price
24,25,Price2
25,26,Base_Price
26,27,Price1
27,28,Base_Price
28,29,Base_Price
29,30,Price3
30,31,Price2
31,32,Price4
32,33,Price1
33,34,Price4
34,35,Base_Price
35,36,Price1
36,37,Price4
37,38,Price4
38,39,Base_Price
39,40,Base_Price
40,41,Price1
41,42,Price2
42,43,Price1
43,44,Price1
44,45,Price4
45,46,Price1
46,47,Base_Price
47,48,Base_Price
48,49,Base_Price
49,50,Base_Price
50,51,Base_Price
51,52,Price4
52,53,Base_Price
53,54,Price3
54,55,Price4
55,56,Price1
56,57,Base_Price
57,58,Price1
58,59,Price4
59,60,Price1
60,61,Price2
61,62,Price1
62,63,Price4
63,64,Price2
64,65,Price4
65,66,Base_Price
66,67,Price4
67,68,Base_Price
68,69,Price4
69,70,Base_Price
70,71,Price1
71,72,Price1
72,73,Price4
73,74,Price1
74,75,Price3
75,76,Price2
76,77,Price1
77,78,Base_Price
78,79,Price4
79,80,Price4
80,81,Price1
81,82,Price4
82,83,Base_Price
83,84,Price1
84,85,Price1
85,86,Price4
86,87,Base_Price
87,88,Base_Price
88,89,Base_Price
89,90,Price2
90,91,Price1
91,92,Price1
92,93,Price2
93,94,Price4
94,95,Base_Price
95,96,Price4
96,97,Price2
97,98,Base_Price
98,99,Price4
99,100,Price2
100,101,Base_Price
101,102,Price2
102,103,Base_Price
103,104,Price1
104,105,Price3
105,106,Price4
106,107,Price1
107,108,Price4
108,109,Base_Price
109,110,Price3
110,111,Price2
111,112,Price2
112,113,Base_Price
113,114,Price4
114,115,Price4
115,116,Base_Price
116,117,Base_Price
117,118,Base_Price
118,119,Price4
119,120,Price1
120,121,Base_Price
121,122,Price4
122,123,Price1
123,124,Base_Price
124,125,Base_Price
125,126,Base_Price
126,127,Price1
127,128,Base_Price
128,129,Base_Price
129,130,Base_Price
130,131,Price1
131,132,Price2
132,133,Price1
133,134,Price4
134,135,Price3
135,136,Price1
136,137,Price4
137,138,Price1
138,139,Price1
139,140,Price2
140,141,Price4
141,142,Price3
142,143,Price1
143,144,Base_Price
144,145,Price2
145,146,Price4
146,147,Base_Price
147,148,Base_Price
148,149,Price2
149,150,Base_Price
150,151,Price3
151,152,Price2
152,153,Price1
153,154,Price2
154,155,Price2
155,156,Base_Price
156,157,Price4
157,158,Base_Price
158,159,Base_Price
159,160,Base_Price
160,161,Base_Price
161,162,Base_Price
162,163,Price2
163,164,Base_Price
164,165,Price1
165,166,Base_Price
166,167,Price4
167,168,Price3
168,169,Price1
169,170,Base_Price
170,171,Price1
171,172,Price2
172,173,Base_Price
173,174,Base_Price
174,175,Base_Price
175,176,Price4
176,177,Base_Price
177,178,Price4
178,179,Price3
179,180,Price4
180,181,Base_Price
181,182,Price2
182,183,Base_Price
183,184,Base_Price
184,185,Price4
185,186,Price1
186,187,Base_Price
187,188,Price1
188,189,Price4
189,190,Base_Price
190,191,Price1
191,192,Price1
192,193,Base_Price
193,194,Base_Price
194,195,Base_Price
195,196,Price1
196,197,Price1
197,198,Base_Price
198,199,Price1
199,200,Price2
200,201,Price3
201,202,Price1
202,203,Base_Price
203,204,Price1
204,205,Price4
205,206,Price4
206,207,Price4
207,208,Base_Price
208,209,Base_Price
209,210,Price4
210,211,Price1
211,212,Price3
212,213,Base_Price
213,214,Price4
214,215,Base_Price
215,216,Price1
216,217,Price4
217,218,Price2
218,219,Price4
219,220,Base_Price
220,221,Base_Price
221,222,Price4
222,223,Price1
223,224,Base_Price
224,225,Price4
225,226,Price4
226,227,Base_Price
227,228,Price1
228,229,Price4
229,230,Price1
230,231,Price2
231,232,Base_Price
232,233,Base_Price
233,234,Price4
234,235,Price1
235,236,Price3
236,237,Base_Price
237,238,Price4
238,239,Price4
239,240,Price4
240,241,Price4
241,242,Price4
242,243,Price1
243,244,Price2
244,245,Price2
245,246,Price4
246,247,Price2
247,248,Base_Price
248,249,Base_Price
249,250,Price2
250,251,Price4
251,252,Price3
252,253,Price1
253,254,Price4
254,255,Price2
255,256,Price4
256,257,Price2
257,258,Price4
258,259,Price2
259,260,Price4
260,261,Price4
261,262,Price4
262,263,Base_Price
263,264,Price4
264,265,Price4
265,266,Price1
266,267,Price4
267,268,Base_Price
268,269,Price1
269,270,Base_Price
270,271,Base_Price
271,272,Price4
272,273,Price1
273,274,Base_Price
274,275,Price2
275,276,Base_Price
276,277,Base_Price
277,278,Price4
278,279,Price1
279,280,Price4
280,281,Price2
281,282,Price1
282,283,Base_Price
283,284,Price1
284,285,Price1
285,286,Price1
286,287,Price3
287,288,Price1
288,289,Price4
289,290,Price1
290,291,Price4
291,292,Base_Price
292,293,Price1
293,294,Price4
294,295,Price4
295,296,Base_Price
296,297,Price2
297,298,Base_Price
298,299,Price3
299,300,Price4
