Item id,Price
1,Price1
2,Price1
3,Price1
4,Base_Price
5,Price4
6,Price1
7,Price1
8,Price1
9,Base_Price
10,Price3
11,Price4
12,Base_Price
13,Price3
14,Price4
15,Base_Price
16,Price3
17,Price1
18,Base_Price
19,Price4
20,Base_Price
21,Price4
22,Price4
23,Price3
24,Base_Price
25,Price1
26,Base_Price
27,Price1
28,Base_Price
29,Base_Price
30,Price1
31,Price1
32,Price3
33,Price1
34,Price3
35,Base_Price
36,Price1
37,Base_Price
38,Price4
39,Base_Price
40,Base_Price
41,Price1
42,Price1
43,Base_Price
44,Price1
45,Price4
46,Price1
47,Base_Price
48,Base_Price
49,Base_Price
50,Base_Price
51,Base_Price
52,Price3
53,Base_Price
54,Price1
55,Price3
56,Price1
57,Base_Price
58,Price1
59,Price4
60,Price1
61,Price1
62,Price1
63,Price1
64,Price1
65,Price3
66,Base_Price
67,Price4
68,Base_Price
69,Price4
70,Base_Price
71,Price1
72,Price1
73,Price4
74,Price1
75,Price1
76,Price1
77,Price1
78,Base_Price
79,Price4
80,Price4
81,Price1
82,Price4
83,Base_Price
84,Price1
85,Price1
86,Price3
87,Base_Price
88,Base_Price
89,Base_Price
90,Price1
91,Price1
92,Price1
93,Price1
94,Price3
95,Base_Price
96,Price3
97,Price1
98,Base_Price
99,Price2
100,Price1
101,Base_Price
102,Price1
103,Base_Price
104,Price1
105,Price1
106,Price2
107,Price1
108,Price4
109,Base_Price
110,Price2
111,Price1
112,Price1
113,Base_Price
114,Price3
115,Price4
116,Base_Price
117,Base_Price
118,Base_Price
119,Price4
120,Price1
121,Base_Price
122,Price4
123,Price1
124,Base_Price
125,Base_Price
126,Base_Price
127,Price1
128,Base_Price
129,Base_Price
130,Base_Price
131,Price1
132,Price1
133,Price1
134,Price4
135,Price2
136,Price1
137,Price3
138,Price1
139,Price1
140,Price1
141,Price4
142,Price3
143,Price1
144,Base_Price
145,Price1
146,Price4
147,Base_Price
148,Base_Price
149,Price1
150,Base_Price
151,Price1
152,Price2
153,Price1
154,Price1
155,Price1
156,Base_Price
157,Price4
158,Base_Price
159,Base_Price
160,Base_Price
161,Base_Price
162,Base_Price
163,Price1
164,Base_Price
165,Price1
166,Base_Price
167,Price3
168,Price2
169,Price1
170,Base_Price
171,Price1
172,Price1
173,Base_Price
174,Base_Price
175,Base_Price
176,Price4
177,Base_Price
178,Price4
179,Price2
180,Price4
181,Base_Price
182,Price1
183,Base_Price
184,Base_Price
185,Price2
186,Price1
187,Base_Price
188,Price1
189,Price4
190,Base_Price
191,Price1
192,Price1
193,Base_Price
194,Base_Price
195,Base_Price
196,Price1
197,Price1
198,Base_Price
199,Price1
200,Price1
201,Price2
202,Price1
203,Base_Price
204,Price1
205,Price4
206,Base_Price
207,Price3
208,Base_Price
209,Base_Price
210,Price4
211,Price1
212,Price3
213,Base_Price
214,Price3
215,Base_Price
216,Price1
217,Price4
218,Price2
219,Base_Price
220,Base_Price
221,Base_Price
222,Price4
223,Price1
224,Base_Price
225,Price4
226,Price2
227,Base_Price
228,Price1
229,Price4
230,Price1
231,Price1
232,Base_Price
233,Base_Price
234,Price4
235,Price1
236,Price1
237,Base_Price
238,Price3
239,Price4
240,Price4
241,Price4
242,Price4
243,Price1
244,Price1
245,Price1
246,Price4
247,Price1
248,Base_Price
249,Base_Price
250,Price1
251,Price4
252,Price1
253,Price1
254,Price4
255,Price1
256,Price3
257,Price2
258,Price4
259,Price1
260,Price4
261,Base_Price
262,Price3
263,Base_Price
264,Base_Price
265,Price3
266,Price1
267,Price2
268,Base_Price
269,Price1
270,Base_Price
271,Base_Price
272,Price4
273,Price1
274,Base_Price
275,Price1
276,Base_Price
277,Base_Price
278,Price2
279,Price1
280,Price3
281,Price1
282,Price1
283,Base_Price
284,Base_Price
285,Price1
286,Price1
287,Price2
288,Price1
289,Price4
290,Price1
291,Price2
292,Base_Price
293,Price1
294,Price3
295,Price4
296,Base_Price
297,Price1
298,Base_Price
299,Price3
300,Price4
